# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.128750000000000E+09;2.932139097246345E-01;8.064257320226388E-01;2.194448051928267E-01;8.316209011355213E-01;-9.277768310094684E-04;1.309573477869882E-03;
2.130000000000000E+09;3.354909834604746E-01;7.900863936119926E-01;2.628563852231405E-01;8.190459396269310E-01;-8.500788985812005E-04;1.383881046960129E-03;
2.131250000000000E+09;3.769848955795667E-01;7.716337518822517E-01;3.055415942219091E-01;8.043477138226824E-01;-7.578821525524167E-04;1.433665576196451E-03;
2.132500000000000E+09;4.172536428136658E-01;7.508144061862466E-01;3.473063972313719E-01;7.872889158993895E-01;-6.827025934206611E-04;1.514151142060100E-03;
2.133750000000000E+09;4.564216951755415E-01;7.277229218719546E-01;3.881032954716148E-01;7.682947821653286E-01;-5.731757974995015E-04;1.538514412323907E-03;
2.135000000000000E+09;4.940758325642035E-01;7.028121615466724E-01;4.278020282829343E-01;7.470663643103611E-01;-4.837065732327931E-04;1.583817405054586E-03;
2.136250000000000E+09;5.303832409324878E-01;6.759336615047035E-01;4.665642355120109E-01;7.238056838643276E-01;-3.968805696844745E-04;1.618121072540990E-03;
2.137500000000000E+09;5.652991895216813E-01;6.471246904065122E-01;5.035842083540440E-01;6.986409215832993E-01;-3.086919734100468E-04;1.631259384573010E-03;
2.138750000000000E+09;5.983868727613204E-01;6.164187694432109E-01;5.394499117719406E-01;6.714070533202098E-01;-2.022305855208253E-04;1.638863237984770E-03;
2.140000000000000E+09;6.301386051782890E-01;5.842146446131612E-01;5.740024508102470E-01;6.424020311029872E-01;-1.055505265740373E-04;1.674736983551436E-03;
2.141250000000000E+09;6.601391383731892E-01;5.502743929600408E-01;6.065328091685671E-01;6.117193065436325E-01;-9.590439599426904E-06;1.667765231108060E-03;
2.142500000000000E+09;6.881643817374504E-01;5.146122122351392E-01;6.379544743739358E-01;5.793673773957948E-01;1.051947088695846E-04;1.671670974288380E-03;
2.143750000000000E+09;7.144415622787459E-01;4.777781508237131E-01;6.672680490894235E-01;5.452800232875248E-01;2.188619369307208E-04;1.678762666164492E-03;
2.145000000000000E+09;7.387261305447981E-01;4.392294417328785E-01;6.948934830503904E-01;5.099564986140822E-01;3.084541949027517E-04;1.616413153552229E-03;
2.146250000000000E+09;7.609121271048176E-01;3.997727669052506E-01;7.205349317570852E-01;4.729132673784328E-01;4.220522958474724E-04;1.600641995242230E-03;
2.147500000000000E+09;7.810151103443268E-01;3.591187539972207E-01;7.443750062324664E-01;4.348016848342462E-01;5.067154563146190E-04;1.567554002206074E-03;
2.148750000000000E+09;7.988392152318173E-01;3.173029124450228E-01;7.660958384825892E-01;3.953216153993578E-01;5.928495341894700E-04;1.488801628816981E-03;
2.150000000000000E+09;8.143557488287404E-01;2.747905914396857E-01;7.857996237768579E-01;3.545412475504819E-01;6.593878278307364E-04;1.473597539980198E-03;
2.151250000000000E+09;8.278035863202504E-01;2.315431472559176E-01;8.032032192608086E-01;3.132100736559087E-01;7.309279504877285E-04;1.384562440509756E-03;
2.152500000000000E+09;8.387974116779091E-01;1.873557253161699E-01;8.185443729118331E-01;2.706178361475494E-01;7.753491552045950E-04;1.354209825609957E-03;
2.153750000000000E+09;8.473712865804369E-01;1.427652842611486E-01;8.315711880007840E-01;2.271880081936144E-01;8.395299116022175E-04;1.361579435444634E-03;
2.155000000000000E+09;8.535456368962510E-01;9.758476630020207E-02;8.420898870646212E-01;1.835282066357716E-01;8.554792150451872E-04;1.318835559381225E-03;
2.156250000000000E+09;8.572573183338886E-01;5.215879547761185E-02;8.505255765053519E-01;1.390689359800500E-01;9.534497285902977E-04;1.271073917097264E-03;
2.157500000000000E+09;8.588119935119723E-01;6.893493925016692E-03;8.565231143428749E-01;9.384719234133179E-02;1.026893121771874E-03;1.193768240906932E-03;
2.158750000000000E+09;8.576916402325866E-01;-3.887241283524418E-02;8.599084183869832E-01;4.893012399128185E-02;1.130261296615067E-03;1.174335426954612E-03;
2.160000000000000E+09;8.543381873760505E-01;-8.444258689042887E-02;8.612294400061701E-01;3.620968637093570E-03;1.133828068394511E-03;1.076627903743522E-03;
2.161250000000000E+09;8.486715183423685E-01;-1.294023007054571E-01;8.602630990855323E-01;-4.174393501540986E-02;1.209682706606669E-03;1.008136916311845E-03;
2.162500000000000E+09;8.404584737484693E-01;-1.743535475879402E-01;8.566941921993896E-01;-8.672765436020800E-02;1.249778209777892E-03;9.679475528211335E-04;
2.163750000000000E+09;8.299149051579253E-01;-2.187407707833428E-01;8.507954702236179E-01;-1.317979169148414E-01;1.277798291653715E-03;8.849473759294818E-04;
2.165000000000000E+09;8.170172739991184E-01;-2.624599272711522E-01;8.427350004117001E-01;-1.762815679436107E-01;1.321656464971209E-03;8.690150766372002E-04;
