# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S21;ang:Trc2_S21;db:Trc3_S21;ang:Trc3_S21;db:Trc4_S22;ang:Trc4_S22;db:Mem5[Trc2]_S21;ang:Mem5[Trc2]_S21;
2.683000000000000E+09;-2.949728736501232E+01;-1.678840197375480E+02;-1.014019091228369E+00;-1.337783126465171E+02;-1.014019091228369E+00;-1.337783126465171E+02;-2.704986810250141E+01;1.079077420071040E+02;5.769817264819486E+01;4.944931350974368E+00;
2.684000000000000E+09;-2.963334023196641E+01;-1.672755927890248E+02;-1.014025919869683E+00;-1.343300863368233E+02;-1.014025919869683E+00;-1.343300863368233E+02;-2.712769004866942E+01;1.076012316038309E+02;5.768038903371015E+01;5.244114670414047E+00;
2.685000000000000E+09;-2.987398421516064E+01;-1.689197297139686E+02;-1.012019122342651E+00;-1.349373643550258E+02;-1.012019122342651E+00;-1.349373643550258E+02;-2.717556855760363E+01;1.073364322028314E+02;5.769059577099444E+01;5.416348364399433E+00;
2.686000000000000E+09;-2.998686659628926E+01;-1.690359578432895E+02;-1.007751301157795E+00;-1.355256266127676E+02;-1.007751301157795E+00;-1.355256266127676E+02;-2.727281370359233E+01;1.066320871353326E+02;5.781517568632260E+01;4.710125038231343E+00;
2.687000000000000E+09;-3.015975302131022E+01;-1.699891632031380E+02;-1.010602799272302E+00;-1.360885404657057E+02;-1.010602799272302E+00;-1.360885404657057E+02;-2.742771112640791E+01;1.058394109789986E+02;5.762866532516169E+01;4.633490406070245E+00;
2.688000000000000E+09;-3.038575260796410E+01;-1.700598069070930E+02;-1.013105212267007E+00;-1.367028631593662E+02;-1.013105212267007E+00;-1.367028631593662E+02;-2.742121331387649E+01;1.058055403469243E+02;5.778076783294678E+01;4.463564243789928E+00;
2.689000000000000E+09;-3.062427652717159E+01;-1.705215685955841E+02;-1.008156816511172E+00;-1.372722979837149E+02;-1.008156816511172E+00;-1.372722979837149E+02;-2.751975583592237E+01;1.054040224257540E+02;5.770159509866924E+01;5.538626500397972E+00;
2.690000000000000E+09;-3.083457264767255E+01;-1.711006739005726E+02;-1.011236242886024E+00;-1.378677547066089E+02;-1.011236242886024E+00;-1.378677547066089E+02;-2.763454142585567E+01;1.046891279531450E+02;5.781306213507445E+01;5.758563569696706E+00;
2.691000000000000E+09;-3.107939938533877E+01;-1.722185097282137E+02;-1.015063963976335E+00;-1.384608231201634E+02;-1.015063963976335E+00;-1.384608231201634E+02;-2.779499867014706E+01;1.040195616855523E+02;5.784912821752236E+01;5.954100760137726E+00;
2.692000000000000E+09;-3.144691141041297E+01;-1.722548860650542E+02;-1.010516348877779E+00;-1.390433549840873E+02;-1.010516348877779E+00;-1.390433549840873E+02;-2.784970092565209E+01;1.038605293395010E+02;5.769109971685809E+01;4.362024417002362E+00;
2.693000000000000E+09;-3.152081072401730E+01;-1.727830055634052E+02;-1.012161757094044E+00;-1.396226475434315E+02;-1.012161757094044E+00;-1.396226475434315E+02;-2.807524726195081E+01;1.034189517378175E+02;5.777552078443654E+01;5.410376003758113E+00;
2.694000000000000E+09;-3.170163764584480E+01;-1.733026680907445E+02;-1.010310876715126E+00;-1.402354600555482E+02;-1.010310876715126E+00;-1.402354600555482E+02;-2.801842624956836E+01;1.027085805164819E+02;5.776455917209865E+01;5.119657887419925E+00;
2.695000000000000E+09;-3.201716482379810E+01;-1.737614077556339E+02;-1.010362327240307E+00;-1.408156844816700E+02;-1.010362327240307E+00;-1.408156844816700E+02;-2.812566335555551E+01;1.023041857741877E+02;5.745790864656562E+01;5.193583044984600E+00;
2.696000000000000E+09;-3.243566938336698E+01;-1.745980406968329E+02;-1.005761410396166E+00;-1.413843078756838E+02;-1.005761410396166E+00;-1.413843078756838E+02;-2.831925293868001E+01;1.023746570644936E+02;5.761727512536311E+01;5.130049263959149E+00;
2.697000000000000E+09;-3.264968154502597E+01;-1.748632598711706E+02;-1.014679884497231E+00;-1.419860283104744E+02;-1.014679884497231E+00;-1.419860283104744E+02;-2.835483133090710E+01;1.017513197763993E+02;5.769944905390246E+01;5.033866064229910E+00;
2.698000000000000E+09;-3.282681105973273E+01;-1.743003760044817E+02;-1.013959343756723E+00;-1.425671461610004E+02;-1.013959343756723E+00;-1.425671461610004E+02;-2.849831584282223E+01;1.014430240560865E+02;5.776509012778145E+01;6.073801799438648E+00;
2.699000000000000E+09;-3.321633238210267E+01;-1.753407119470220E+02;-1.011758665283414E+00;-1.431760947315802E+02;-1.011758665283414E+00;-1.431760947315802E+02;-2.865595676419604E+01;1.009246277709837E+02;5.772541285750019E+01;5.561184881446230E+00;
2.700000000000000E+09;-3.344283755419158E+01;-1.768909141595327E+02;-1.010522170832467E+00;-1.437359937452733E+02;-1.010522170832467E+00;-1.437359937452733E+02;-2.872609777535861E+01;1.008359921628982E+02;5.762511551346429E+01;5.516845636792421E+00;
2.701000000000000E+09;-3.378087027767209E+01;-1.768182168388873E+02;-1.013571274964680E+00;-1.443500047579836E+02;-1.013571274964680E+00;-1.443500047579836E+02;-2.880636138975804E+01;9.926841947570311E+01;5.795161285122014E+01;4.162924681267165E+00;
2.702000000000000E+09;-3.401248324748872E+01;-1.780729341112994E+02;-1.009061052439292E+00;-1.449191693624844E+02;-1.009061052439292E+00;-1.449191693624844E+02;-2.891454166536317E+01;9.953200341452327E+01;5.761434003466255E+01;5.636090163592336E+00;
